Industry,Month,Revenue,Customers,GrowthRate,TrendScore
Retail,1,47840.1424590337,2554.2603548243223,0.03647688538100692,0.5585359197254358
Retail,2,46997.53987582999,2614.879456457623,0.04579212815507391,0.567332377233015
Retail,3,47641.57684219514,2806.3840065378945,0.025365823071875376,0.403542627680864
Retail,4,51125.88681469811,2513.0079633013306,0.01275082167486967,0.33563973191229973
Retail,5,48711.506638996725,2922.137099889291,0.020919759244787887,0.3339836111571749
Retail,6,57496.946306764665,2916.1335549270198,0.030675282046879238,0.3821390009237233
Retail,7,52816.85182642445,3041.63838845648,0.01849006422577697,0.4112352220461684
Retail,8,53998.083930243585,3056.2459375310086,0.02398293387770603,0.512528578613977
Retail,9,57109.5083257862,3016.343360656615,0.03822544912103189,0.4300850631066083
Retail,10,59126.59078501427,2956.049481418034,0.016718139511015695,0.39343375934853464
Retail,11,62065.399739986235,3350.7052421784956,0.028843517176117592,0.4291624011011235
Retail,12,56764.43402889771,3292.023368740793,0.025393612290402122,0.4798241727629564
Retail,13,63580.85486870539,3210.5439766955906,0.03324083969394795,0.44695008444892387
Retail,14,61869.23399908212,3641.7514433261304,0.04030999522495951,0.5481139820806075
Retail,15,62732.34743033208,3578.618143622318,0.03331263431403564,0.5153404279262961
Retail,16,65162.47728646413,3672.1511535004274,0.018936650259939715,0.334872920095665
Retail,17,70387.5774671826,3978.4360042856233,0.02927989878419666,0.49657613881558454
Retail,18,70384.9080751429,3753.2320368092314,0.03361395605508414,0.5449716085987192
Retail,19,70542.52188267015,4159.696548372101,0.0038025489591025537,0.36010787001427397
Retail,20,72261.14120471451,3955.14889743012,0.030917607765355022,0.3552095930967305
Retail,21,72690.98433648747,4128.566885726762,0.044778940447415164,0.4979811913233934
Retail,22,72274.51919132043,4074.7364434623196,0.03915402117702074,0.5122076613680879
Retail,23,74460.71938869888,4301.990114967003,0.0309707754934804,0.5032861269940465
Retail,24,75293.84071836794,4250.850678010334,0.026078918468678422,0.3572188449367862
Retail,25,79638.36083119373,4414.158290826984,0.03005113456642461,0.4385263161633657
Retail,26,75853.88777384875,4386.903201585196,0.026572854834732304,0.39275041071258054
Retail,27,80966.14286500197,4585.607628522181,0.048861859012105296,0.5530381857021185
Retail,28,83572.65117216829,4588.833112635075,0.010812287847009584,0.35273574546258707
Retail,29,84330.69062982308,5044.486316872793,0.028076390352188774,0.4554593188776245
Retail,30,85395.86469088426,4574.69829435707,0.04142822814515021,0.5447377923600897
Retail,31,89223.09584112914,4688.591881780789,0.04402794310936099,0.4500471624071909
Retail,32,89960.57128140081,5228.568343871497,0.020094636748693114,0.37215829726332694
Retail,33,89848.95409526292,4899.47865188257,0.014493365689338672,0.37589497718699466
Retail,34,87713.08885882169,5121.038864595277,0.020805757657661968,0.48152550853918674
Retail,35,89900.24012299128,5076.690772569149,0.0381351721736967,0.4291326450467857
Retail,36,94282.3798038124,5396.071413142364,0.013925167654387723,0.3788575311985538
Healthcare,1,41579.64838274527,1647.2734307665964,0.007630492891219181,0.2721296338018821
Healthcare,2,43165.824696850694,1604.5477009849778,0.022504928503458765,0.4298470529921426
Healthcare,3,40359.92583526453,1624.8380545741506,0.022930724732986813,0.3789360527636157
Healthcare,4,48797.32353343427,1691.0749381367682,0.008086965027973514,0.37326250557155904
Healthcare,5,41075.95498931804,1768.062690561368,0.03158595579007404,0.41689566303278464
Healthcare,6,47690.12838773297,1741.917139040475,0.0282206015999449,0.5359426571324218
Healthcare,7,44863.835651991394,1596.9395753463768,0.011104855703744768,0.3147337642704519
Healthcare,8,46168.69487175769,1791.1727962224963,0.02276690799330019,0.45519370241830215
Healthcare,9,47239.00567563372,1988.0301115735974,0.01735343166762044,0.5227756166675831
Healthcare,10,49877.00204329502,1671.4263665375577,0.009291075019388877,0.3705789958591036
Healthcare,11,48129.61164402245,1937.100074113814,0.02473237624573545,0.4200204355958336
Healthcare,12,47059.61884579479,1632.7729162971202,0.01553485047932979,0.4204941921128226
Healthcare,13,51042.28123239061,1703.139183193202,0.02173180925851182,0.42792491527900095
Healthcare,14,48548.4276913966,1943.0587658918291,0.02058208718446,0.3457619210307688
Healthcare,15,53073.36208104485,2034.117678955235,0.03083051243175277,0.506842664760509
Healthcare,16,48666.991896128726,1839.3262440127316,0.0251503526720866,0.4514410609060434
Healthcare,17,55145.14305891814,2587.9097235982085,0.02570890510693167,0.4853228075436883
Healthcare,18,57262.0052904796,2137.7086876958697,0.016847307553596542,0.4221849987926461
Healthcare,19,52881.52435638728,2034.4772089889987,0.015146364521708967,0.3798255295778609
Healthcare,20,62943.97570002053,1819.9102211112377,0.026862601903745134,0.35367721595924306
Healthcare,21,55384.2044026317,2293.342589545105,0.020642800190954626,0.3493267620583078
Healthcare,22,55454.0888722201,2261.9396623402013,0.012696333682828635,0.3743045978932419
Healthcare,23,58536.71551971144,2092.2599478591274,0.04143944089325326,0.5388931555821668
Healthcare,24,53124.57224002718,2247.9681472154143,0.01338213535231612,0.40953234350139184
Healthcare,25,57622.4377847019,2232.789533779965,0.025049872789804573,0.4685371236575289
Healthcare,26,57199.11077883267,2229.824814623858,0.015250546888390438,0.3435862728132666
Healthcare,27,66896.36272084329,2370.7472566441434,0.007391160456649549,0.38284889963598656
Healthcare,28,68766.4685910379,2494.869789082672,0.004806300340459866,0.29981979805898673
Healthcare,29,67000.73344755986,2263.849580157183,0.024438194281462284,0.4609226740787783
Healthcare,30,61219.20858526575,2391.07119659073,-0.012412673400690726,0.18671725092983185
Healthcare,31,64042.295545820525,2242.8325227052724,0.036324113039316354,0.4101134962985501
Healthcare,32,64279.866539909046,2479.6110865929136,0.03441273289066116,0.4002705568943338
Healthcare,33,69889.49125646488,2491.534959152938,0.01018491348952049,0.374029741160766
Healthcare,34,67797.17908672041,2429.9674684261813,0.02069802084990019,0.3842244244064129
Healthcare,35,68340.55203575375,2649.3196011781574,0.03586016816145352,0.4174100658659251
Healthcare,36,75199.1001239688,2287.1868300716246,0.018482149049644167,0.42182660557244966
Technology,1,53842.9756032051,2026.5950720269109,0.057918777496427244,0.5649438407491946
Technology,2,54231.905729167374,2367.4403145531537,0.06357015485965047,0.5832052945352196
Technology,3,61698.799626299755,2406.0949281314915,0.0681286211883896,0.6721245480381286
Technology,4,59513.01496723379,2395.9728439704545,0.06747293605123261,0.6678831935278362
Technology,5,64937.29521810755,2617.599107496317,0.07277664895788424,0.6343046753476297
Technology,6,69641.29214351012,2689.6711021349156,0.05782318796772779,0.6440547824379985
Technology,7,73476.24904696409,2962.026445400096,0.0730547880715433,0.6663241324393544
Technology,8,76045.85891388489,2913.4599865109817,0.06324166352488442,0.6097011649060379
Technology,9,77290.98789497816,3169.273553815537,0.05181779316766527,0.6637083296225994
Technology,10,76981.9478555009,3017.87170808184,0.07158110873500068,0.6974886783731502
Technology,11,84872.35945115646,3414.251826389642,0.05987753227153085,0.5545249427833627
Technology,12,86227.41367458118,3338.4257432731833,0.0697511973341775,0.6414031175957806
